checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,36,delayedpreviously,business,4455,<100,1<=X<4,2,malediv/sep,none,2,realestate,30,stores,own,2,highqualif/selfemp/mgmt,1,yes,yes,bad
<0,21,allpaid,newcar,1647,noknownsavings,1<=X<4,4,malesingle,none,2,lifeinsurance,40,none,own,2,unskilledresident,2,none,yes,bad
nochecking,24,critical/otherexistingcredit,furniture/equipment,3777,>=1000,1<=X<4,4,malesingle,none,4,realestate,50,none,own,1,skilled,1,yes,yes,good
0<=X<200,18,critical/otherexistingcredit,newcar,884,<100,>=7,4,malesingle,none,4,car,36,bank,own,1,skilled,2,yes,yes,bad
nochecking,15,critical/otherexistingcredit,radio/tv,1360,<100,1<=X<4,4,malesingle,none,2,lifeinsurance,31,none,own,2,skilled,1,none,yes,good
0<=X<200,9,allpaid,usedcar,5129,<100,>=7,2,femalediv/dep/mar,none,4,noknownproperty,74,bank,forfree,1,highqualif/selfemp/mgmt,2,yes,yes,bad
0<=X<200,16,critical/otherexistingcredit,newcar,1175,<100,unemployed,2,malesingle,none,3,car,68,none,forfree,3,unemp/unskillednonres,1,yes,yes,good
<0,12,existingpaid,radio/tv,674,100<=X<500,4<=X<7,4,malemar/wid,none,1,lifeinsurance,20,none,own,1,skilled,1,none,yes,bad
0<=X<200,18,nocredits/allpaid,furniture/equipment,3244,<100,1<=X<4,1,femalediv/dep/mar,none,4,car,33,bank,own,2,skilled,1,yes,yes,good
nochecking,24,existingpaid,business,4591,>=1000,1<=X<4,2,malesingle,none,3,lifeinsurance,54,none,own,3,highqualif/selfemp/mgmt,1,yes,yes,bad
0<=X<200,48,nocredits/allpaid,business,3844,100<=X<500,4<=X<7,4,malesingle,none,4,noknownproperty,34,none,forfree,1,unskilledresident,2,none,yes,bad
0<=X<200,27,existingpaid,business,3915,<100,1<=X<4,4,malesingle,none,2,car,36,none,own,1,skilled,2,yes,yes,bad
nochecking,6,existingpaid,radio/tv,2108,<100,4<=X<7,2,malemar/wid,none,2,realestate,29,none,rent,1,skilled,1,none,yes,good
0<=X<200,45,existingpaid,radio/tv,3031,100<=X<500,1<=X<4,4,malesingle,guarantor,4,lifeinsurance,21,none,rent,1,skilled,1,none,yes,bad
0<=X<200,9,critical/otherexistingcredit,education,1501,<100,>=7,2,femalediv/dep/mar,none,3,car,34,none,own,2,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,6,critical/otherexistingcredit,radio/tv,1382,<100,1<=X<4,1,femalediv/dep/mar,none,1,car,28,none,own,2,skilled,1,yes,yes,good
0<=X<200,12,existingpaid,furniture/equipment,951,100<=X<500,<1,4,femalediv/dep/mar,none,4,car,27,bank,rent,4,skilled,1,none,yes,bad
0<=X<200,24,existingpaid,usedcar,2760,noknownsavings,>=7,4,malesingle,none,4,noknownproperty,36,bank,forfree,1,skilled,1,yes,yes,good
0<=X<200,18,delayedpreviously,furniture/equipment,4297,<100,>=7,4,malediv/sep,none,3,noknownproperty,40,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,9,critical/otherexistingcredit,education,936,500<=X<1000,>=7,4,malesingle,none,2,car,52,none,own,2,skilled,1,yes,yes,good
<0,12,existingpaid,newcar,1168,<100,1<=X<4,4,malemar/wid,none,3,realestate,27,none,own,1,unskilledresident,1,none,yes,good
nochecking,27,delayedpreviously,business,5117,<100,4<=X<7,3,malesingle,none,4,car,26,none,own,2,skilled,1,none,yes,good
<0,12,existingpaid,retraining,902,<100,4<=X<7,4,malemar/wid,none,4,lifeinsurance,21,none,rent,1,skilled,1,none,yes,bad
nochecking,12,critical/otherexistingcredit,newcar,1495,<100,>=7,4,malesingle,none,1,realestate,38,none,own,2,unskilledresident,2,none,yes,good
<0,30,critical/otherexistingcredit,usedcar,10623,<100,>=7,3,malesingle,none,4,noknownproperty,38,none,forfree,3,highqualif/selfemp/mgmt,2,yes,yes,good
nochecking,12,critical/otherexistingcredit,furniture/equipment,1935,<100,>=7,4,malesingle,none,4,realestate,43,none,own,3,skilled,1,yes,yes,good
0<=X<200,12,critical/otherexistingcredit,domesticappliance,1424,<100,4<=X<7,4,malesingle,none,3,lifeinsurance,26,none,own,1,skilled,1,none,yes,good
<0,24,existingpaid,business,6568,<100,1<=X<4,2,malemar/wid,none,2,car,21,stores,own,1,unskilledresident,1,none,yes,good
nochecking,12,existingpaid,usedcar,1413,>=1000,4<=X<7,3,malesingle,none,2,lifeinsurance,55,none,own,1,skilled,1,none,no,good
nochecking,9,critical/otherexistingcredit,radio/tv,3074,noknownsavings,1<=X<4,1,malesingle,none,2,realestate,33,none,own,2,skilled,2,none,yes,good
nochecking,36,existingpaid,radio/tv,3835,noknownsavings,>=7,2,femalediv/dep/mar,none,4,realestate,45,none,own,1,unskilledresident,1,yes,yes,good
<0,27,nocredits/allpaid,business,5293,<100,unemployed,2,malesingle,none,4,lifeinsurance,50,stores,own,2,skilled,1,yes,yes,bad
>=200,30,delayedpreviously,business,1908,<100,>=7,4,malesingle,none,4,realestate,66,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,36,critical/otherexistingcredit,radio/tv,3342,noknownsavings,>=7,4,malesingle,none,2,car,51,none,own,1,skilled,1,yes,yes,good
0<=X<200,6,critical/otherexistingcredit,retraining,932,noknownsavings,4<=X<7,1,femalediv/dep/mar,none,3,lifeinsurance,39,none,own,2,unskilledresident,1,none,yes,good
<0,18,nocredits/allpaid,business,3104,<100,4<=X<7,3,malesingle,none,1,lifeinsurance,31,bank,own,1,skilled,1,yes,yes,good
>=200,36,existingpaid,radio/tv,3913,<100,1<=X<4,2,malesingle,none,2,realestate,23,none,own,1,skilled,1,yes,yes,good
<0,24,existingpaid,furniture/equipment,3021,<100,1<=X<4,2,malediv/sep,none,2,realestate,24,none,rent,1,unskilledresident,1,none,yes,good
nochecking,10,existingpaid,newcar,1364,<100,1<=X<4,2,femalediv/dep/mar,none,4,car,64,none,own,1,skilled,1,yes,yes,good
0<=X<200,12,existingpaid,radio/tv,625,<100,<1,4,malemar/wid,guarantor,1,realestate,26,bank,own,1,unskilledresident,1,none,yes,good
<0,12,existingpaid,education,1200,noknownsavings,1<=X<4,4,femalediv/dep/mar,none,4,lifeinsurance,23,bank,rent,1,skilled,1,yes,yes,good
nochecking,12,existingpaid,radio/tv,707,<100,1<=X<4,4,malesingle,none,2,realestate,30,bank,own,2,skilled,1,none,yes,good
nochecking,24,delayedpreviously,business,2978,noknownsavings,1<=X<4,4,malesingle,none,4,realestate,32,none,own,2,skilled,2,yes,yes,good
nochecking,15,existingpaid,usedcar,4657,<100,1<=X<4,3,malesingle,none,2,car,30,none,own,1,skilled,1,yes,yes,good
nochecking,36,nocredits/allpaid,repairs,2613,<100,1<=X<4,4,malesingle,none,2,car,27,none,own,2,skilled,1,none,yes,good
0<=X<200,48,existingpaid,radio/tv,10961,>=1000,4<=X<7,1,malesingle,coapplicant,2,noknownproperty,27,bank,own,2,skilled,1,yes,yes,bad
<0,12,existingpaid,furniture/equipment,7865,<100,>=7,4,malesingle,none,4,noknownproperty,53,none,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,9,existingpaid,radio/tv,1478,<100,4<=X<7,4,malesingle,none,2,car,22,none,own,1,skilled,1,none,yes,bad
<0,24,existingpaid,furniture/equipment,3149,<100,<1,4,malesingle,none,1,noknownproperty,22,bank,forfree,1,skilled,1,none,yes,good
>=200,36,existingpaid,radio/tv,4210,<100,1<=X<4,4,malesingle,none,2,car,26,none,own,1,skilled,1,none,yes,bad
nochecking,9,existingpaid,newcar,2507,500<=X<1000,>=7,2,malesingle,none,4,noknownproperty,51,none,forfree,1,unskilledresident,1,none,yes,good
nochecking,12,existingpaid,radio/tv,2141,100<=X<500,4<=X<7,3,malesingle,none,1,noknownproperty,35,none,own,1,skilled,1,none,yes,good
0<=X<200,18,existingpaid,radio/tv,866,<100,1<=X<4,4,malemar/wid,guarantor,2,realestate,25,none,own,1,unskilledresident,1,none,yes,good
nochecking,4,critical/otherexistingcredit,radio/tv,1544,<100,4<=X<7,2,malesingle,none,1,realestate,42,none,own,3,unskilledresident,2,none,yes,good
<0,24,existingpaid,radio/tv,1823,<100,unemployed,4,malesingle,none,2,car,30,stores,own,1,highqualif/selfemp/mgmt,2,none,yes,bad
0<=X<200,6,existingpaid,newcar,14555,noknownsavings,unemployed,1,malesingle,none,2,lifeinsurance,23,none,own,1,unemp/unskillednonres,1,yes,yes,bad
0<=X<200,21,existingpaid,business,2767,100<=X<500,>=7,4,malediv/sep,none,2,car,61,bank,rent,2,unskilledresident,1,none,yes,bad
nochecking,12,critical/otherexistingcredit,radio/tv,1291,<100,1<=X<4,4,femalediv/dep/mar,none,2,lifeinsurance,35,none,own,2,skilled,1,none,yes,good
<0,30,existingpaid,radio/tv,2522,<100,>=7,1,malesingle,guarantor,3,lifeinsurance,39,none,own,1,skilled,2,none,yes,good
<0,24,existingpaid,newcar,915,noknownsavings,>=7,4,femalediv/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,bad
nochecking,6,existingpaid,radio/tv,1595,<100,4<=X<7,3,malesingle,none,2,lifeinsurance,51,none,own,1,skilled,2,none,yes,good
<0,48,nocredits/allpaid,usedcar,4605,<100,>=7,3,malesingle,none,4,noknownproperty,24,none,forfree,2,skilled,2,none,yes,bad
nochecking,12,critical/otherexistingcredit,business,1185,<100,1<=X<4,3,femalediv/dep/mar,none,2,realestate,27,none,own,2,skilled,1,none,yes,good
nochecking,12,allpaid,retraining,3447,500<=X<1000,1<=X<4,4,femalediv/dep/mar,none,3,realestate,35,none,own,1,unskilledresident,2,none,yes,good
nochecking,24,existingpaid,business,1258,<100,4<=X<7,4,malesingle,none,1,realestate,25,none,own,1,skilled,1,yes,yes,good
nochecking,12,critical/otherexistingcredit,radio/tv,717,<100,>=7,4,malesingle,none,4,realestate,52,none,own,3,skilled,1,none,yes,good
nochecking,6,nocredits/allpaid,newcar,1204,100<=X<500,1<=X<4,4,malesingle,none,1,noknownproperty,35,bank,rent,1,skilled,1,none,no,good
>=200,24,existingpaid,furniture/equipment,1925,<100,1<=X<4,2,malesingle,none,2,realestate,26,none,own,1,skilled,1,none,yes,good
nochecking,18,existingpaid,radio/tv,433,<100,unemployed,3,femalediv/dep/mar,coapplicant,4,realestate,22,none,rent,1,skilled,1,none,yes,bad
<0,6,critical/otherexistingcredit,newcar,666,>=1000,4<=X<7,3,femalediv/dep/mar,none,4,realestate,39,none,own,2,unskilledresident,1,yes,yes,good
>=200,12,existingpaid,furniture/equipment,2251,<100,1<=X<4,1,femalediv/dep/mar,none,2,car,46,none,own,1,unskilledresident,1,none,yes,good
0<=X<200,30,existingpaid,newcar,2150,<100,1<=X<4,4,femalediv/dep/mar,guarantor,2,noknownproperty,24,bank,own,1,skilled,1,none,yes,bad
nochecking,24,delayedpreviously,furniture/equipment,4151,100<=X<500,1<=X<4,2,malesingle,none,3,lifeinsurance,35,none,own,2,skilled,1,none,yes,good
0<=X<200,9,existingpaid,furniture/equipment,2030,noknownsavings,4<=X<7,2,malesingle,none,1,car,24,none,own,1,skilled,1,yes,yes,good
0<=X<200,60,delayedpreviously,radio/tv,7418,noknownsavings,1<=X<4,1,malesingle,none,1,realestate,27,none,own,1,unskilledresident,1,none,yes,good
nochecking,24,critical/otherexistingcredit,radio/tv,2684,<100,1<=X<4,4,malesingle,none,2,realestate,35,none,own,2,unskilledresident,1,none,yes,good
<0,12,allpaid,radio/tv,2149,<100,1<=X<4,4,malediv/sep,none,1,noknownproperty,29,none,forfree,1,skilled,1,none,yes,bad
nochecking,15,existingpaid,usedcar,3812,100<=X<500,<1,1,femalediv/dep/mar,none,4,car,23,none,own,1,skilled,1,yes,yes,good
nochecking,11,critical/otherexistingcredit,radio/tv,1154,100<=X<500,unemployed,4,femalediv/dep/mar,none,4,realestate,57,none,own,3,unskilledresident,1,none,yes,good
<0,12,existingpaid,furniture/equipment,1657,<100,1<=X<4,2,malesingle,none,2,realestate,27,none,own,1,skilled,1,none,yes,good
<0,24,existingpaid,radio/tv,1603,<100,>=7,4,femalediv/dep/mar,none,4,car,55,none,own,1,skilled,1,none,yes,good
<0,18,critical/otherexistingcredit,newcar,5302,<100,>=7,2,malesingle,none,4,noknownproperty,36,none,forfree,3,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,12,critical/otherexistingcredit,education,2748,<100,>=7,2,femalediv/dep/mar,none,4,noknownproperty,57,bank,forfree,3,unskilledresident,1,none,yes,good
nochecking,10,critical/otherexistingcredit,newcar,1231,<100,>=7,3,malesingle,none,4,realestate,32,none,own,2,unskilledresident,2,none,no,good
0<=X<200,15,existingpaid,radio/tv,802,<100,>=7,4,malesingle,none,3,car,37,none,own,1,skilled,2,none,yes,bad
nochecking,36,critical/otherexistingcredit,business,6304,noknownsavings,>=7,4,malesingle,none,4,realestate,36,none,own,2,skilled,1,none,yes,good
nochecking,24,existingpaid,radio/tv,1533,<100,<1,4,femalediv/dep/mar,none,3,car,38,stores,own,1,skilled,1,yes,yes,good
<0,14,existingpaid,newcar,8978,<100,>=7,1,malediv/sep,none,4,lifeinsurance,45,none,own,1,highqualif/selfemp/mgmt,1,yes,no,bad
nochecking,24,existingpaid,radio/tv,999,noknownsavings,>=7,4,malesingle,none,2,car,25,none,own,2,skilled,1,none,yes,good
nochecking,18,existingpaid,newcar,2662,noknownsavings,4<=X<7,4,malesingle,none,3,lifeinsurance,32,none,own,1,skilled,1,none,no,good
nochecking,12,critical/otherexistingcredit,furniture/equipment,1402,500<=X<1000,4<=X<7,3,femalediv/dep/mar,none,4,car,37,none,rent,1,skilled,1,yes,yes,good
0<=X<200,48,allpaid,newcar,12169,noknownsavings,unemployed,4,malesingle,coapplicant,4,noknownproperty,36,none,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,48,existingpaid,radio/tv,3060,<100,4<=X<7,4,malesingle,none,4,realestate,28,none,own,2,skilled,1,none,yes,bad
<0,30,existingpaid,repairs,11998,<100,<1,1,malediv/sep,none,1,noknownproperty,34,none,own,1,unskilledresident,1,yes,yes,bad
nochecking,9,existingpaid,radio/tv,2697,<100,1<=X<4,1,malesingle,none,2,realestate,32,none,own,1,skilled,2,none,yes,good
nochecking,18,critical/otherexistingcredit,radio/tv,2404,<100,1<=X<4,2,femalediv/dep/mar,none,2,car,26,none,own,2,skilled,1,none,yes,good
<0,12,existingpaid,furniture/equipment,1262,noknownsavings,>=7,2,malediv/sep,none,4,lifeinsurance,49,none,own,1,unskilledresident,1,yes,yes,good
nochecking,6,existingpaid,furniture/equipment,4611,<100,<1,1,femalediv/dep/mar,none,4,lifeinsurance,32,none,own,1,skilled,1,none,yes,bad
nochecking,24,existingpaid,radio/tv,1901,100<=X<500,1<=X<4,4,malesingle,none,4,car,29,none,rent,1,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,15,critical/otherexistingcredit,usedcar,3368,>=1000,>=7,3,malesingle,none,4,noknownproperty,23,none,rent,2,skilled,1,yes,yes,good
nochecking,12,existingpaid,furniture/equipment,1574,<100,1<=X<4,4,malesingle,none,2,realestate,50,none,own,1,skilled,1,none,yes,good
>=200,18,allpaid,radio/tv,1445,noknownsavings,4<=X<7,4,malesingle,none,4,car,49,bank,own,1,unskilledresident,1,none,yes,good
nochecking,15,critical/otherexistingcredit,furniture/equipment,1520,noknownsavings,>=7,4,malesingle,none,4,lifeinsurance,63,none,own,1,skilled,1,none,yes,good
0<=X<200,24,critical/otherexistingcredit,newcar,3878,100<=X<500,<1,4,malediv/sep,none,2,car,37,none,own,1,skilled,1,yes,yes,good
<0,47,existingpaid,newcar,10722,<100,<1,1,femalediv/dep/mar,none,1,realestate,35,none,own,1,unskilledresident,1,yes,yes,good
<0,48,existingpaid,usedcar,4788,<100,4<=X<7,4,malesingle,none,3,lifeinsurance,26,none,own,1,skilled,2,none,yes,good
0<=X<200,48,delayedpreviously,other,7582,100<=X<500,unemployed,2,malesingle,none,4,noknownproperty,31,none,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,12,existingpaid,radio/tv,1092,<100,1<=X<4,4,femalediv/dep/mar,guarantor,4,realestate,49,none,own,2,skilled,1,yes,yes,good
<0,24,delayedpreviously,radio/tv,1024,<100,<1,4,malemar/wid,none,4,realestate,48,stores,own,1,skilled,1,none,yes,bad
nochecking,12,existingpaid,business,1076,<100,1<=X<4,2,malemar/wid,none,2,realestate,26,none,own,1,skilled,1,yes,no,good
0<=X<200,36,existingpaid,usedcar,9398,<100,<1,1,malemar/wid,none,4,car,28,none,rent,1,highqualif/selfemp/mgmt,1,yes,yes,bad
<0,24,critical/otherexistingcredit,usedcar,6419,<100,>=7,2,femalediv/dep/mar,none,4,noknownproperty,44,none,forfree,2,highqualif/selfemp/mgmt,2,yes,yes,good
>=200,42,critical/otherexistingcredit,usedcar,4796,<100,>=7,4,malesingle,none,4,noknownproperty,56,none,forfree,1,skilled,1,none,yes,good
nochecking,48,critical/otherexistingcredit,business,7629,noknownsavings,>=7,4,malediv/sep,none,2,car,46,bank,own,2,highqualif/selfemp/mgmt,2,none,yes,good
0<=X<200,48,existingpaid,furniture/equipment,9960,<100,<1,1,femalediv/dep/mar,none,2,car,26,none,own,1,skilled,1,yes,yes,bad
nochecking,12,existingpaid,usedcar,4675,noknownsavings,<1,1,femalediv/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,good
nochecking,10,existingpaid,newcar,1287,noknownsavings,>=7,4,malesingle,coapplicant,2,lifeinsurance,45,none,own,1,unskilledresident,1,none,no,good
nochecking,18,existingpaid,furniture/equipment,2515,<100,1<=X<4,3,malesingle,none,4,realestate,43,none,own,1,skilled,1,yes,yes,good
0<=X<200,21,critical/otherexistingcredit,furniture/equipment,2745,>=1000,4<=X<7,3,malesingle,none,2,car,32,none,own,2,skilled,1,yes,yes,good
nochecking,6,existingpaid,newcar,672,<100,unemployed,1,femalediv/dep/mar,none,4,realestate,54,none,own,1,unemp/unskillednonres,1,yes,yes,good
0<=X<200,36,nocredits/allpaid,radio/tv,3804,<100,1<=X<4,4,femalediv/dep/mar,none,1,car,42,none,own,1,skilled,1,yes,yes,bad
>=200,24,critical/otherexistingcredit,newcar,1344,noknownsavings,4<=X<7,4,malesingle,none,2,realestate,37,bank,own,2,unskilledresident,2,none,yes,bad
<0,10,critical/otherexistingcredit,newcar,1038,<100,4<=X<7,4,malesingle,coapplicant,3,lifeinsurance,49,none,own,2,skilled,1,yes,yes,good
nochecking,48,critical/otherexistingcredit,newcar,10127,500<=X<1000,1<=X<4,2,malesingle,none,2,noknownproperty,44,bank,forfree,1,skilled,1,none,yes,bad
nochecking,6,existingpaid,furniture/equipment,1543,>=1000,1<=X<4,4,malediv/sep,none,2,realestate,33,none,own,1,skilled,1,none,yes,good
nochecking,30,existingpaid,usedcar,4811,noknownsavings,4<=X<7,2,femalediv/dep/mar,none,4,lifeinsurance,24,stores,rent,1,unskilledresident,1,none,yes,good
<0,12,existingpaid,radio/tv,727,100<=X<500,<1,4,malemar/wid,none,3,noknownproperty,33,none,own,1,unskilledresident,1,yes,yes,bad
0<=X<200,8,existingpaid,furniture/equipment,1237,<100,1<=X<4,3,femalediv/dep/mar,none,4,realestate,24,none,own,1,skilled,1,none,yes,bad
0<=X<200,9,existingpaid,newcar,276,<100,1<=X<4,4,malemar/wid,none,4,realestate,22,none,rent,1,unskilledresident,1,none,yes,good
0<=X<200,48,existingpaid,other,5381,noknownsavings,unemployed,3,malesingle,none,4,noknownproperty,40,bank,forfree,1,unemp/unskillednonres,1,yes,yes,good
nochecking,24,existingpaid,furniture/equipment,5511,100<=X<500,1<=X<4,4,malesingle,none,1,car,25,stores,own,1,skilled,1,none,yes,good
>=200,24,existingpaid,furniture/equipment,3749,<100,<1,2,femalediv/dep/mar,none,4,car,26,none,own,1,skilled,1,none,yes,good
0<=X<200,12,existingpaid,newcar,685,<100,4<=X<7,2,malemar/wid,none,3,car,25,bank,own,1,unskilledresident,1,none,yes,bad
>=200,4,existingpaid,newcar,1494,noknownsavings,<1,1,malesingle,none,2,realestate,29,none,own,1,unskilledresident,2,none,no,good
<0,36,allpaid,furniture/equipment,2746,<100,>=7,4,malesingle,none,4,car,31,bank,own,1,skilled,1,none,yes,bad
<0,12,existingpaid,furniture/equipment,708,<100,1<=X<4,2,malesingle,guarantor,3,lifeinsurance,38,none,own,1,unskilledresident,2,none,yes,good
0<=X<200,24,existingpaid,furniture/equipment,4351,noknownsavings,1<=X<4,1,femalediv/dep/mar,none,4,lifeinsurance,48,none,own,1,unskilledresident,1,yes,yes,good
nochecking,12,critical/otherexistingcredit,education,701,<100,1<=X<4,4,malesingle,none,2,car,32,none,own,2,skilled,1,none,yes,good
<0,15,delayedpreviously,furniture/equipment,3643,<100,>=7,1,femalediv/dep/mar,none,4,lifeinsurance,27,none,own,2,unskilledresident,1,none,yes,good
0<=X<200,30,critical/otherexistingcredit,newcar,4249,<100,unemployed,4,malemar/wid,none,2,car,28,none,own,2,highqualif/selfemp/mgmt,1,none,yes,bad
<0,24,existingpaid,radio/tv,1938,<100,<1,4,malediv/sep,none,3,lifeinsurance,32,none,own,1,skilled,1,none,yes,bad
<0,24,existingpaid,usedcar,2910,<100,4<=X<7,2,malesingle,none,1,noknownproperty,34,none,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,18,existingpaid,furniture/equipment,2659,>=1000,1<=X<4,4,malesingle,none,2,car,28,none,own,1,skilled,1,none,yes,good
nochecking,18,critical/otherexistingcredit,newcar,1028,<100,1<=X<4,4,femalediv/dep/mar,none,3,realestate,36,none,own,2,skilled,1,none,yes,good
<0,8,critical/otherexistingcredit,newcar,3398,<100,4<=X<7,1,malesingle,none,4,realestate,39,none,own,2,unskilledresident,1,none,no,good
nochecking,12,critical/otherexistingcredit,furniture/equipment,5801,noknownsavings,>=7,2,malesingle,none,4,lifeinsurance,49,none,rent,1,skilled,1,yes,yes,good
nochecking,24,existingpaid,newcar,1525,>=1000,4<=X<7,4,femalediv/dep/mar,none,3,car,34,none,own,1,skilled,2,yes,yes,good
>=200,36,existingpaid,radio/tv,4473,<100,>=7,4,malesingle,none,2,car,31,none,own,1,skilled,1,none,yes,good
0<=X<200,6,existingpaid,radio/tv,1068,<100,>=7,4,malesingle,none,4,car,28,none,own,1,skilled,2,none,yes,good
<0,24,critical/otherexistingcredit,usedcar,6615,<100,unemployed,2,malesingle,none,4,noknownproperty,75,none,forfree,2,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,18,critical/otherexistingcredit,education,1864,100<=X<500,1<=X<4,4,femalediv/dep/mar,none,2,realestate,30,none,own,2,skilled,1,none,yes,bad
0<=X<200,60,existingpaid,newcar,7408,100<=X<500,<1,4,femalediv/dep/mar,none,2,lifeinsurance,24,none,own,1,highqualif/selfemp/mgmt,1,none,yes,bad
nochecking,48,critical/otherexistingcredit,usedcar,11590,100<=X<500,1<=X<4,2,femalediv/dep/mar,none,4,car,24,bank,rent,2,unskilledresident,1,none,yes,bad
<0,24,nocredits/allpaid,furniture/equipment,4110,<100,>=7,3,malesingle,none,4,noknownproperty,23,bank,rent,2,skilled,2,none,yes,bad
<0,6,critical/otherexistingcredit,furniture/equipment,3384,<100,1<=X<4,1,malediv/sep,none,4,realestate,44,none,rent,1,highqualif/selfemp/mgmt,1,yes,yes,bad
0<=X<200,13,existingpaid,radio/tv,2101,<100,<1,2,femalediv/dep/mar,guarantor,4,lifeinsurance,23,none,own,1,unskilledresident,1,none,yes,good
<0,15,existingpaid,domesticappliance,1275,noknownsavings,1<=X<4,4,femalediv/dep/mar,none,2,car,24,none,rent,1,skilled,1,none,yes,bad
<0,24,existingpaid,furniture/equipment,4169,<100,1<=X<4,4,malesingle,none,4,lifeinsurance,28,none,own,1,skilled,1,none,yes,good
0<=X<200,10,existingpaid,furniture/equipment,1521,<100,1<=X<4,4,malediv/sep,none,2,car,31,none,own,1,unskilledresident,1,none,yes,good
0<=X<200,24,critical/otherexistingcredit,education,5743,<100,<1,2,femalediv/dep/mar,none,4,noknownproperty,24,none,forfree,2,skilled,1,yes,yes,good
<0,21,existingpaid,furniture/equipment,3599,<100,4<=X<7,1,femalediv/dep/mar,none,4,car,26,none,rent,1,unskilledresident,1,none,yes,good
0<=X<200,18,existingpaid,radio/tv,3213,500<=X<1000,<1,1,malemar/wid,none,3,realestate,25,none,rent,1,skilled,1,none,yes,good
0<=X<200,18,existingpaid,business,4439,<100,>=7,1,malesingle,coapplicant,1,realestate,33,bank,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
>=200,10,existingpaid,newcar,3949,<100,<1,1,malesingle,guarantor,1,lifeinsurance,37,none,own,1,unskilledresident,2,none,yes,good
nochecking,15,critical/otherexistingcredit,radio/tv,1459,<100,1<=X<4,4,femalediv/dep/mar,none,2,car,43,none,own,1,unskilledresident,1,none,yes,good
0<=X<200,13,critical/otherexistingcredit,radio/tv,882,<100,<1,4,malesingle,guarantor,4,realestate,23,none,own,2,skilled,1,none,yes,good
0<=X<200,24,existingpaid,radio/tv,3758,500<=X<1000,unemployed,1,femalediv/dep/mar,none,4,noknownproperty,23,none,rent,1,unemp/unskillednonres,1,none,yes,good
nochecking,6,delayedpreviously,business,1743,100<=X<500,1<=X<4,1,malesingle,none,2,realestate,34,none,own,2,unskilledresident,1,none,yes,good
0<=X<200,9,critical/otherexistingcredit,education,1136,>=1000,>=7,4,malesingle,none,3,noknownproperty,32,none,forfree,2,skilled,2,none,yes,bad
nochecking,9,existingpaid,domesticappliance,1236,<100,<1,1,femalediv/dep/mar,none,4,realestate,23,none,rent,1,skilled,1,yes,yes,good
0<=X<200,9,existingpaid,furniture/equipment,959,<100,1<=X<4,1,femalediv/dep/mar,none,2,car,29,none,own,1,skilled,1,none,no,bad
nochecking,18,critical/otherexistingcredit,usedcar,3229,noknownsavings,unemployed,2,malesingle,none,4,noknownproperty,38,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,12,nocredits/allpaid,radio/tv,6199,<100,1<=X<4,4,malesingle,none,2,lifeinsurance,28,none,rent,2,skilled,1,yes,yes,bad
nochecking,10,existingpaid,education,727,500<=X<1000,>=7,4,malesingle,none,4,noknownproperty,46,none,forfree,1,skilled,1,yes,yes,good
0<=X<200,24,existingpaid,newcar,1246,<100,<1,4,malesingle,none,2,realestate,23,stores,own,1,unskilledresident,1,none,yes,bad
nochecking,12,critical/otherexistingcredit,radio/tv,2331,noknownsavings,>=7,1,malesingle,coapplicant,4,realestate,49,none,own,1,skilled,1,yes,yes,good
nochecking,36,delayedpreviously,radio/tv,4463,<100,1<=X<4,4,malesingle,none,2,car,26,none,own,2,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,12,existingpaid,radio/tv,776,<100,1<=X<4,4,malemar/wid,none,2,realestate,28,none,own,1,skilled,1,none,yes,good
<0,30,existingpaid,furniture/equipment,2406,<100,4<=X<7,4,femalediv/dep/mar,none,4,realestate,23,none,rent,1,skilled,1,none,yes,bad
0<=X<200,18,existingpaid,education,1239,noknownsavings,1<=X<4,4,malesingle,none,4,noknownproperty,61,none,forfree,1,skilled,1,none,yes,good
>=200,12,existingpaid,radio/tv,3399,noknownsavings,>=7,2,malesingle,none,3,car,37,none,own,1,highqualif/selfemp/mgmt,1,none,yes,good
>=200,12,delayedpreviously,newcar,2247,<100,1<=X<4,2,femalediv/dep/mar,none,2,car,36,stores,own,2,skilled,1,yes,yes,good
